pp_0000 6.5 93.5 1.0 "1.000000000000000055511e-01"
pp_0001 18.5 93.5 1.0 "1.0000000000000000555112e-01"
pp_0002 30.5 93.5 1.0 "1.3001156916000000673961e-01"
pp_0003 42.5 93.5 1.0 "1.16398477569999991843019416"
pp_0004 54.5 93.5 1.0 "3.11860233700000000212071427"
pp_0005 66.5 93.5 1.0 "2.3583431650000000190381e-01"
pp_0006 78.5 93.5 1.0 "1.0000000000000000555112e-01"
pp_0007 90.5 93.5 1.0 "1.0352232090000000608310e-01"
pp_0008 6.5 81.5 1.0 "1.0000000000000000555112e-01"
pp_0009 18.5 81.5 1.0 "1.00000000000000005551115e-01"
pp_0010 30.5 81.5 1.0 "3.03837937960000026293983e-01"
pp_0011 42.5 81.5 1.0 "1.00000000000000000000000e+01"
pp_0012 54.5 81.5 1.0 "1.00000000000000000000000e+01"
pp_0013 66.5 81.5 1.0 "7.08102291799999949972744e-01"
pp_0014 78.5 81.5 1.0 "1.21542173939999997855921e-01"
pp_0015 90.5 81.5 1.0 "1.00000000000000005551115e-01"
pp_0016 6.5 69.5 1.0 "1.0000000000000000555112e-01"
pp_0017 18.5 69.5 1.0 "1.00000000000000005551115e-01"
pp_0018 30.5 69.5 1.0 "2.16391401640000008432807e-01"
pp_0019 42.5 69.5 1.0 "1.00000000000000000000000e+01"
pp_0020 54.5 69.5 1.0 "1.00000000000000000000000e+01"
pp_0021 66.5 69.5 1.0 "3.84535110680000014049540e-01"
pp_0022 78.5 69.5 1.0 "1.00000000000000005551115e-01"
pp_0023 90.5 69.5 1.0 "1.00000000000000005551115e-01"
pp_0024 6.5 57.5 1.0 "2.1381147030000000053285e-01"
pp_0025 18.5 57.5 1.0 "2.16155853139999992729159e-01"
pp_0026 30.5 57.5 1.0 "2.39858437360000009697103e-01"
pp_0027 42.5 57.5 1.0 "2.41707429629999998033085e-01"
pp_0028 54.5 57.5 1.0 "4.49863750880000023979477e-01"
pp_0029 66.5 57.5 1.0 "1.62446739889999997030756e-01"
pp_0030 78.5 57.5 1.0 "1.12623754199999995262438e-01"
pp_0031 90.5 57.5 1.0 "1.25494588830000003421006e-01"
pp_0032 6.5 45.5 1.0 "2.9284714878000001059277e-01"
pp_0033 18.5 45.5 1.0 "2.82435966069999988548034e-01"
pp_0034 30.5 45.5 1.0 "2.58931567239999993468302e-01"
pp_0035 42.5 45.5 1.0 "3.11034096280000005307897e-01"
pp_0036 54.5 45.5 1.0 "2.96351411439999989916316e-01"
pp_0037 66.5 45.5 1.0 "3.06904318850000024099245e-01"
pp_0038 78.5 45.5 1.0 "1.80563930560000002190080e-01"
pp_0039 90.5 45.5 1.0 "1.02578654919999998074154e-01"
pp_0040 6.5 33.5 1.0 "1.0000000000000000555112e-01"
pp_0041 18.5 33.5 1.0 "4.41254350199999978432430e-01"
pp_0042 30.5 33.5 1.0 "2.339952276300000022501990316"
pp_0043 42.5 33.5 1.0 "3.41984167170000019631004e-01"
pp_0044 54.5 33.5 1.0 "1.00000000000000005551115e-01"
pp_0045 66.5 33.5 1.0 "3.03100742320000005047831e-01"
pp_0046 78.5 33.5 1.0 " 2.00844988659999978963810463"
pp_0047 90.5 33.5 1.0 "1.398617635299999939491044643"
pp_0048 6.5 21.5 1.0 "1.0000000000000000555112e-01"
pp_0049 18.5 21.5 1.0 "1.217553910799999972169871398"
pp_0050 30.5 21.5 1.0 "7.393056070700000148576691572"
pp_0051 42.5 21.5 1.0 "2.274615530100000171387364389"
pp_0052 54.5 21.5 1.0 "1.10185386659999995373482e-01"
pp_0053 66.5 21.5 1.0 "1.011663916300000076731180343"
pp_0054 78.5 21.5 1.0 "6.817890156499999854133875488"
pp_0055 90.5 21.5 1.0 "2.991189998399999883105238041"
pp_0056 6.5 9.5 1.0 "1.0000000000000000555112e-01"
pp_0057 18.5 9.5 1.0 "5.28244519529999956297672e-01"
pp_0058 30.5 9.5 1.0 "2.638159202699999816843501321"
pp_0059 42.5 9.5 1.0 "6.95770482160000036664371e-01"
pp_0060 54.5 9.5 1.0 "1.06164911000000000695920e-01"
pp_0061 66.5 9.5 1.0 "4.48439644899999989569039e-01"
pp_0062 78.5 9.5 1.0 "2.575419620599999959154047247"
pp_0063 90.5 9.5 1.0 "9.07963102149999978784933e-01"

